Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Monday,1/10/2022,Canuck,17,1,"Canuck, Gopher, Freighter, Tater, Crunch, Old Spice, Blade, Boo Boo, Chunks, Doppler, Slice, Huckleberry, Pigeon, Hooch, Retina, Insider (FNG), Flea Fly",LAUNCH,1,2022
Wednesday,1/12/2022,Canuck,5,,"Canuck, Insider, Old Spice, Boogeyman, Hooch",,1,2022
Monday,1/17/2022,Canuck,8,1,"Canuck, old spice , boo boo, hooch, huckleberry,  boogeyman, crunch, seagal",,1,2022
Wednesday,1/19/2022,Canuck,6,,"Old spice, hooch, insider, boo boo, seagal, Canuck",,1,2022
Monday,1/24/2022,Canuck,7,,"Canuck, hooch, old spice, crunch, boo boo, huckleberry, Lilo",,1,2022
Wednesday,1/26/2022,Hooch,12,,"Hooch, Freighter, Watts, Slice, Paneer, Doppler, Canuck, Insider, Boo Boo, Old Spice, Seagal, Boogeyman",,1,2022
Monday,1/31/2022,Crunch,9,,"Slice, Freighter, Boogeyman, Huckleberry, Gopher, Canuck, Hooch, Seagal, crunch, Tater",,1,2022
Wednesday,2/2/2022,Tater,8,,"Tater, Canuck, Boo boo, Old spice, hooch, blade, boogeyman, seagal",,2,2022
Monday,2/7/2022,Old Spice,9,,"Old Spice, Belding, Hooch, Crunch, Huckleberry, Tater, Stinger, Offsides",,2,2022
Wednesday,2/9/2022,Hooch,6,,"Hooch, Canuck, Seagal, Tater, Old Spice, Stinger",,2,2022
Monday,2/14/2022,Boogeyman,6,,"Boogeyman, Seagal, Stinger, Crunch, Canuck, Hooch",,2,2022
Wednesday,2/16/2022,Gopher,7,,"Old Spice, Canuck, Hooch, Seagal, Boogeyman, Stinger, Gopher",,2,2022
Monday,2/21/2022,Arson,8,,"Arson, Boogeyman, Classified, Crunch, Hooch, Old Spice, Seagal, Stinger",,2,2022
Wednesday,2/23/2022,Huckleberry,4,,"Huckleberry, Seagal, Stinger, Hooch",,2,2022
Monday,2/28/2022,Flea Fly,10,,"Flea Fly, Hooch, Gopher, Canuck, Seagal, Stinger, Old Spice, Crunch, Classified, Boogeyman",,2,2022
Wednesday,3/2/2022,Canuck,5,,"Canuck, Stinger, Seagal, Boogeyman, Hooch",,3,2022
Monday,3/7/2022,Tater,7,1,"Tater, Gopher, Canuck, Stinger, Hooch, EPA, Crunch",EPA (FNG) I think,3,2022
Wednesday,3/9/2022,Hooch,4,,"Hooch, EPA, Stinger, Canuck",,3,2022
Monday,3/14/2022,Crunch,10,,"Crunch, Seagal, Huckleberry, Ramsay, Hooch, Boogeyman, Classified, EPA, Stinger, Canuck",,3,2022
Wednesday,3/16/2022,Arson,7,,"Arson, Canuck, Classified, Hooch, Seagal, Stinger, Geronimo",,3,2022
Monday,3/21/2022,Crunch,4,,"Crunch, Flea Fly, Stinger, Hooch",,3,2022
Wednesday,3/23/2022,Stinger,8,,"Stinger, Canuck, EPA, Blade, Paneer, Freighter, Hooch, Watts",,3,2022
