Site Qs: Canuck,,,7.93,9,,,,,,,Bleach PAX FNG Dashboard,,,2022 Bleach Q Counts,,,Bleach Pax Counts (thru 4/13),,
Day,Date,Q ,Count,FNGs,PAX,Notes,Month,Year,,#,Bleach FNG Dashboard,Sponsor,,Name,Q Count,,Name,Post Count,641
Monday,1/10/2022,Canuck,17,1,"Canuck, Gopher, Freighter, Tater, Crunch, Old Spice, Blade, Boo Boo, Chunks, Doppler, Slice, Huckleberry, Pigeon, Hooch, Retina, Insider (FNG), Flea Fly",LAUNCH,1,2022,,1,Insider,Retina,,Canuck,15,,Canuck,68,
Wednesday,1/12/2022,Canuck,5,,"Canuck, Insider, Old Spice, Boogeyman, Hooch",,1,2022,,2,Seagal,Boogeyman ,,Hooch,13,,Hooch,68,
Monday,1/17/2022,Canuck,8,1,"Canuck, old spice , boo boo, hooch, huckleberry,  boogeyman, crunch, seagal",,1,2022,,3,Offsides,Old Spice,,Crunch,9,,Stinger,57,
Wednesday,1/19/2022,Canuck,6,,"Old spice, hooch, insider, boo boo, seagal, Canuck",,1,2022,,4,Pledge,Classified,,Gopher,9,,Hacksaw,37,
Monday,1/24/2022,Canuck,7,,"Canuck, hooch, old spice, crunch, boo boo, huckleberry, Lilo",,1,2022,,5,Cabra,Gopher,,Tater,4,,Gopher,33,
Wednesday,1/26/2022,Hooch,12,,"Hooch, Freighter, Watts, Slice, Paneer, Doppler, Canuck, Insider, Boo Boo, Old Spice, Seagal, Boogeyman",,1,2022,,6,Itchit,Classified,,Stinger,6,,Eagle,27,
Monday,1/31/2022,Crunch,9,,"Slice, Freighter, Boogeyman, Huckleberry, Gopher, Canuck, Hooch, Seagal, crunch, Tater",,1,2022,,7,Lantern,Classified,,Arson,2,,Tater,25,
Wednesday,2/2/2022,Tater,8,,"Tater, Canuck, Boo boo, Old spice, hooch, blade, boogeyman, seagal",,2,2022,,8,Papa,Stinger,,Old Spice,1,,EPA,29,
Monday,2/7/2022,Old Spice,9,,"Old Spice, Belding, Hooch, Crunch, Huckleberry, Tater, Stinger, Offsides",,2,2022,,9,Eagle,Hacksaw,,Boogeyman,1,,Classified,24,
Wednesday,2/9/2022,Hooch,6,,"Hooch, Canuck, Seagal, Tater, Old Spice, Stinger",,2,2022,,10,Tenor,Huckleberry,,Huckleberry,1,,Old Spice,21,
Monday,2/14/2022,Boogeyman,6,,"Boogeyman, Seagal, Stinger, Crunch, Canuck, Hooch",,2,2022,,11,Timney,Canuck,,Flea Fly,1,,Crunch,19,
Wednesday,2/16/2022,Gopher,7,,"Old Spice, Canuck, Hooch, Seagal, Boogeyman, Stinger, Gopher",,2,2022,,12,Backslash,Hacksaw,,Classified,1,,Seagal,17,
Monday,2/21/2022,Arson,8,,"Arson, Boogeyman, Classified, Crunch, Hooch, Old Spice, Seagal, Stinger",,2,2022,,13,Rupture,Classified,,Hacksaw,3,,Backslash,22,
Wednesday,2/23/2022,Huckleberry,4,,"Huckleberry, Seagal, Stinger, Hooch",,2,2022,,14,Iggy,Backslash,,EPA,3,,Tenor,20,
Monday,2/28/2022,Flea Fly,10,,"Flea Fly, Hooch, Gopher, Canuck, Segal, Stinger, Old Spice, Crunch, Classified, Boogeyman",,2,2022,,15,Cliffhanger,Backslash,,Eagle,2,,Timney,19,
