Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Tuesday,1/5/2021,Tater,5,1,"BumpHer, Slice, Quid, Tater, Freighter","Launch, Freighter FNG",1,2021
Thursday,1/7/2021,Tater,6,1,"BumpHer, Slice, Quid, Tater, Freighter, Picabo",Picabo FNG,1,2021
Saturday,1/9/2021,Tater,7,0,"Lilo, Slice, BumpHer, Tater, Freighter, Daft, Punk",,1,2021
Tuesday,1/12/2021,Slice,4,,"Slice, BumpHer, Freighter, Picabo",Slice impromptu VQ!!!,1,2021
Thursday,1/14/2021,Tater,4,,"Tater, Slice, Freighter, Quid",,1,2021
Saturday,1/16/2021,Tater,7,1,"Punk, Daft, Slice, Freighter, BumpHer, Tater, Cochran ",Cochran FNG,1,2021
Tuesday,1/19/2021,Tater,7,1,"Quid, BumpHer, Freighter, Tater, Slice, Sawdust (DR), Cricket",Cricket FNG,1,2021
Thursday,1/21/2021,Tater,5,1,"Tater, Cricket, Freighter, Slice, Paneer",Paneer FNG,1,2021
Saturday,1/23/2021,Tater,11,,"Punk, Cochran, Llama (DR), Pastel, BumpHer, Daft, Picabo, Freighter, Slice, Paneer, Tater",,1,2021
Tuesday,1/26/2021,Tater,5,,"Paneer, Freighter, Slice, Tater, BumpHer",,1,2021
Thursday,1/28/2021,Tater,5,,"Paneer, Freighter, Slice, Tater, BumpHer",,1,2021
Saturday,1/30/2021,Tater,8,,"Lilo, Paneer, Cochran, Daft, Slice, Tater, Freighter, Pastel",Pastel birthday celebration,1,2021
Tuesday,2/2/2021,Slice,3,,"Tater, Freighter, Slice",,2,2021
Thursday,2/4/2021,Tater,6,1,"Tater, Freighter, Slice, Paneer, Lilo, Mantle",Mantle FNG,2,2021
Saturday,2/6/2021,Slice,8,1,"Tater, Freighter, Slice, Paneer, Lilo, Daft, Punk, Laettner",Laettner FNG,2,2021
Tuesday,2/9/2021,Tater,6,1,"Tater, Freighter, Slice, Paneer, Mantle, Longhorn",Longhorn FNG,2,2021
Thursday,2/11/2021,Tater,5,,"Tater, Freighter, Slice, Paneer, Mantle",Tater Freighter Co-Q,2,2021
Saturday,2/13/2021,Freighter,6,,"Tater, Freighter, Slice, Paneer, Lilo, Daft ",Freighter VQ!!!!,2,2021
Tuesday,2/16/2021,Slice,4,,"Tater, Freighter, Slice, Longhorn",,2,2021
