#,Gem PAX,Sponsor
1,Freighter,Slice
2,Picabo,Bumpher
3,Cochran,Tater
4,Cricket,Bumpher
5,Paneer,Slice
6,Mantle,Tater
7,Laettner,Lilo
8,Longhorn,Slice
9,Maraca,Longhorn
10,Repo,Mantle
11,Cubed,Freighter
12,Handy Manny,Cycle Bar
13,Popeye,Red Ryder
14,Stallion,Red Ryder
15,Big Sky,KingPin
16,Jack Hammer,Cycle Bar
17,Mijo,Organic
18,Arson,Repo
19,Bandsaw,Huckleberry
20,Hostage,Huckleberry (Flea Fly)
21,Flea Fly,Huckleberry
22,Runt,Mijo
23,Canuck,Huckleberry
24,Hostage,Flea Fly
25,Runt,Mijo
26,Canuck,Huckleberry
27,Barbie,Huckleberry
28,Kenny G,Huckleberry
29,Casper,Mijo
30,Paddle,Tater
31,Retina,Tater
32,Alien,Huckleberry
33,Grout,Freighter
34,Peloton,Tater
35,Trauma,Freighter
36,Gopher,Huckleberry
37,Sal,Paneer
38,Ahi,Freighter
39,Gandhi,F3 Seattle
40,Sriracha,Canuck
41,Slater,Canuck
42,Pele,Freighter
43,Shameless,Depends (GR)
44,Tweeter,Arson
45,Filter,Arson
46,Metamucil,88 (DR - Gold Rush)
47,Earhart,Lilo
48,Fireball,
49,Carnival,Blade
50,Hubble,
51,Tinkle,
52,Samwise,Paneer
53,Goat,
54,Sockeye,Canuck
55,Road Rash,PrinceSS
56,Pigeon,
57,Picasso,
58,Sun Devil ,PrinceSS
59,Judge (R),Lemon (DR)
60,Squid,Canuck
61,Geico,Canuck
62,Old Spice,Canuck
63,Beans,
64,Slug Bug,Canuck
65,Sideline,
66,Flash,Scrappy
67,Zit,Blade
68,Joanna,
69,Gas Man,
70,Doppler,Huckleberry
71,Tbone,Watts
72,Westside,Tater
73,Ditch Witch,Lilo
74,Murse,Big Sky
75,Flatbed,
76,Gadget,
77,Ragged T'Ann,
78,Revere,Huckleberry
79,Stinger,Canuck
80,Classified,High Tower
81,Cheapskate,
82,Lawsuit,
83,Yankee,
84,Scrooge,
85,Silo,
86,Bruin,
87,Wizard,
88,Bruno,Flea Fly
89,Harry,
90,Smelt,
91,Gumby,
92,Chas,Blade
93,Bacon,
94,Chubby,Zit
95,Tacklebox,Halitosis
96,Clooney,Retina
97,Puff,Hooch
98,Rudy,Bumpher
99,Copycat,Bruno
