"Site Qs: PrinceSS, Blade",,,10.58,107,,,,,,,Gem PAX FNG Dashboard,,,Gem Q Counts,,,Gem Pax Counts (thru 4/16/22),,2896
Day,Date,Q ,Count,FNGs,Pax,Notes,Month,Year,,#,Gem PAX,Sponsor,,Name,Q Count,,Name,Post Count,
Tuesday,1/5/2021,Tater,5,1,"BumpHer, Slice, Quid, Tater, Freighter","Launch, Freighter FNG",1,2021,,1,Freighter,Slice,,Tater,33,,Freighter,205,
Thursday,1/7/2021,Tater,6,1,"BumpHer, Slice, Quid, Tater, Freighter, Picabo",Picabo FNG,1,2021,,2,Picabo,Bumpher,,Slice,32,,Slice,178,
Saturday,1/9/2021,Tater,7,0,"Lilo, Slice, BumpHer, Tater, Freighter, Daft, Punk",,1,2021,,3,Cochran,Tater,,Freighter,20,,Tater,128,
Tuesday,1/12/2021,Slice,4,,"Slice, BumpHer, Freighter, Picabo",Slice impromptu VQ!!!,1,2021,,4,Cricket,Bumpher,,PrinceSS,16,,Paneer,138,
Thursday,1/14/2021,Tater,4,,"Tater, Slice, Freighter, Quid",,1,2021,,5,Paneer,Slice,,Paneer,15,,Blade,104,
Saturday,1/16/2021,Tater,7,1,"Punk, Daft, Slice, Freighter, BumpHer, Tater, Cochran ",Cochran FNG,1,2021,,6,Mantle,Tater,,Retina,14,,Retina,90,
Tuesday,1/19/2021,Tater,7,1,"Quid, BumpHer, Freighter, Tater, Slice, Sawdust (DR), Cricket",Cricket FNG,1,2021,,7,Laettner,Lilo,,Huckleberry,9,,Canuck,81,
Thursday,1/21/2021,Tater,5,1,"Tater, Cricket, Freighter, Slice, Paneer",Paneer FNG,1,2021,,8,Longhorn,Slice,,Samwise,10,,Carnival,76,
Saturday,1/23/2021,Tater,11,,"Punk, Cochran, Llama (DR), Pastel, BumpHer, Daft, Picabo, Freighter, Slice, Paneer, Tater",,1,2021,,9,Maraca,Longhorn,,Lilo,10,,Huckleberry,77,
Tuesday,1/26/2021,Tater,5,,"Paneer, Freighter, Slice, Tater, BumpHer",,1,2021,,10,Repo,Mantle,,Blade,10,,Samwise,77,
Thursday,1/28/2021,Tater,5,,"Paneer, Freighter, Slice, Tater, BumpHer",,1,2021,,11,Cubed,Freighter,,Mantle,7,,PrinceSS,69,
Saturday,1/30/2021,Tater,8,,"Lilo, Paneer, Cochran, Daft, Slice, Tater, Freighter, Pastel",Pastel birthday celebration,1,2021,,12,Handy Manny,Cycle Bar,,Arson,7,,Arson,67,
Tuesday,2/2/2021,Slice,3,,"Tater, Freighter, Slice",,2,2021,,13,Popeye,Red Ryder,,Zit,11,,Grout,66,
Thursday,2/4/2021,Tater,6,1,"Tater, Freighter, Slice, Paneer, Lilo, Mantle",Mantle FNG,2,2021,,14,Stallion,Red Ryder,,Canuck,5,,Mantle,55,
Saturday,2/6/2021,Slice,8,1,"Tater, Freighter, Slice, Paneer, Lilo, Daft, Punk, Laettner",Laettner FNG,2,2021,,15,Big Sky,KingPin,,Daft,4,,Lilo,54,
Tuesday,2/9/2021,Tater,6,1,"Tater, Freighter, Slice, Paneer, Mantle, Longhorn",Longhorn FNG,2,2021,,16,Jack Hammer,Cycle Bar,,Carnival,4,,Watts,62,
Thursday,2/11/2021,Tater,5,,"Tater, Freighter, Slice, Paneer, Mantle",Tater Freighter Co-Q,2,2021,,17,Mijo,Organic,,Grout,3,,Repo,46,
Saturday,2/13/2021,Freighter,6,,"Tater, Freighter, Slice, Paneer, Lilo, Daft ",Freighter VQ!!!!,2,2021,,18,Arson,Repo ,,Repo,3,,Gas Man,57,
Tuesday,2/16/2021,Slice,4,,"Tater, Freighter, Slice, Longhorn",,2,2021,,19,Bandsaw,Huckleberry,,BumpHer,4,,Daft,52,
Thursday,2/18/2021,Slice,6,,"Tater, Freighter, Slice, Paneer, Longhorn, Mantle",Slice Paneer Co-Q,2,2021,,20,Hostage,Huckleberry (Flea Fly),,Trauma,3,,Bumpher,55,
Saturday,2/20/2021,Paneer,7,,"Tater, Freighter, Slice, Paneer, Longhorn, Mantle, Daft, Punk",Paneer VQ!!!!!,2,2021,,21,Flea Fly,Huckleberry,,Gopher,3,,Zit,47,
Tuesday,2/23/2021,Tater,7,1,"Tater, Freighter, Slice, Daft, Longhorn, Mantle, Maraca",Maraca FNG,2,2021,,22,Runt,Mijo,,Watts,4,,Trauma,37,
Thursday,2/25/2021,Slice,7,,"Tater, Freighter, Slice, Longhorn, Mantle, Paneer, Maraca",,2,2021,,23,Canuck,Huckleberry,,Flea Fly,4,,Hooch,49,
Saturday,2/27/2021,Freighter,7,1,"Freighter, Slice, Paneer, Mantle, Maraca, Repo, Lilo",Repo FNG,2,2021,,24,Hostage,Flea Fly,,Halitosis,4,,Rocketman,43,
Tuesday,3/2/2021,Slice,6,,"Slice, Freighter, Tater, Mantle, Maraca, Repo",,3,2021,,25,Runt,Mijo,,Metamucil,3,,Gopher,32,
Thursday,3/4/2021,Tater,9,,"Tater, Lilo, Slice, Freighter, Paneer, Maraca, Longhorn, Repo, Mantle",Tater and Lilo Co-Q!,3,2021,,26,Canuck,Huckleberry,,Crunch,4,,Stinger,37,
Saturday,3/6/2021,Daft,11,1,"Daft, Tater, Freighter, Slice, Mantle, Repo, Laettner, Paneer, Punk, Lilo, Cubed",Daft VQ! Cubed FNG,3,2021,,27,Barbie,Huckleberry,,Focker,6,,Halitosis,32,
Tuesday,3/9/2021,Tater,7,,"Tater, Freighter, Slice, Mantle, Repo, Longhorn, Paneer",Biggie Smalls Theme,3,2021,,28,Kenny G,Huckleberry,,Old Spice,2,,Flea Fly,30,
Thursday,3/11/2021,Slice,7,,"Slice, Freighter, Tater, Mantle, Repo, Paneer, Lilo",,3,2021,,29,Casper,Mijo,,Longhorn,1,,Bruno,46,
Saturday,3/13/2021,Lilo,12,,"Lilo, Freighter, Tater, Paneer, Slice, Mantle, BumpHer, Longhorn, Daft, Punk, Laettner, Cycle Bar",Lilo VQ!,3,2021,,30,Paddle,Tater,,MarkyMark (DR),1,,Focker,32,
Tuesday,3/16/2021,Slice,6,,"Slice, Paneer, Freighter, Lilo, Tater, Longhorn",Tater HIM Theme BD,3,2021,,31,Retina,Tater,,LOL (DR),1,,Metamucil,24,
