Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Saturday,4/30/2022,"Big Sky, Hightower, Carnival",37,2,"Rocketman, Norsk, Gas Man, Hooch, Zit, Stinger, Bruno, Doppler, Freighter, Slice, Trauma, Carnival, Chunks, Cheapskate, Donatello, Samwise, Sand Trap, Ramsay, Big Sky, Hightower, Flea Fly, Cortana, Watts, Escobar, Classified, Canuck, Gopher, Blade, Revere, Tater, Norsk, Huckleberry, Jaws, Pool Boy, Chlorine, Murse","Double check these numbers, missing FNGS",4,2022
Tuesday,5/3/2022,Big Sky,5,,"Big Sky, Pool Boy, Hightower, Cheapskate, Revere",,5,2022
Thursday,5/5/2022,Crunch,9,,"Crunch, Hightower, Big Sky, Chlorine, Cheapskate, Telecaster, Carnival, Revere, Gas Man",,5,2022
Saturday,5/7/2022,Hightower,7,,"Hightower, Telecaster, Cheapskate, Stitches, Carnival, Chlorine, Escobar",,5,2022
Tuesday,5/10/2022,"Rocketman, Cheapskate",7,,"Rocketman, Cheapskate, Escobar, Murse, Revere, Hightower, Chlorine",Rocketman's 100th Post,5,2022
Thursday,5/12/2022,Crunch,8,,"Crunch, Carnival, Hightower, Revere, Cheapskate, Telecaster, Chlorine, Escobar",,5,2022
Saturday,5/14/2022,"Chlorine, Big Sky",6,,"Chlorine, Big Sky, Hightower, Carnival, Murse, Escobar",,5,2022
Tuesday,5/17/2022,Crunch,6,,"Crunch, Big Sky, Hightower, Revere, Cheapskate, Escobar",,5,2022
Thursday,5/19/2022,Revere,6,,"Revere, Carnival, Pool Boy, Hightower, Telecaster, Freighter",,5,2022
Saturday,5/21/2022,Cheapskate,6,,"Cheapskate, Hightower, Halitosis, Escobar, Carnival, Gas Man",,5,2022
Tuesday,5/24/2022,Hightower,7,,"Hightower, Pool Boy, Murse, Rocketman, Cheapskate, Escobar, Revere",,5,2022
Thursday,5/26/2022,Big Sky,7,,"Big Sky, Carnival, Hightower, Cheapskate, Pool Boy, Murse, Escobar",,5,2022
Saturday,5/28/2022,Carnival,11,,"Carnival, Stitches, Flipper (FNG), Escobar, Telecaster, Big Sky, Hightower, Chlorine, Revere, Pool Boy, Crunch",,5,2022
Tuesday,5/31/2022,Crunch,9,,"Bugle, Carnival, Escobar, Chlorine, Pool Boy, Cheapskate, Hightower, Murse, Crunch",,5,2022
Thursday,6/2/2022,Cheapskate,5,,"Cheapskate, Murse, Big Sky, Carnival, HighTower",,6,2022
Saturday,6/4/2022,"Carnival, Escobar",7,0,"Carnival, Escobar, Big Sky, Cheapskate, Chlorine, Flipper, Revere",,6,2022
Tuesday,6/7/2022,Cheapskate,7,,"Carnival, Telecaster, Escobar, Hightower, Chlorine, Revere, Cheapskate",,6,2022
Thursday,6/9/2022,Crunch,6,,"Chlorine, Escobar, Pool Boy, Telecaster, Hightower, Crunch",,6,2022
Saturday,6/11/2022,Big Sky,6,1,"Big Sky, Cheapskate, Pool Boy, Escobar, Chlorine, So So (FNG)",So So (FNG),6,2022
