Site Q:,Carnival,,7.52,7,,,,,,,AO PAX FNG Dashboard,,,Q Counts,,,Iron Mountain Pax Counts,,
Day,Date,Q ,Count,FNGs,Pax,Notes,Month,Year,,#,Iron Mountain PAX,Sponsor,,Name,Q Count,,Name,Post Count,374
Saturday,4/30/2022,"Big Sky, Hightower, Carnival",37,2,"Rocketman Norsk Gas Man Hooch Zit Stinger Bruno Doppler Freighter Slice Trauma Carnival Chunks Cheapskate Donatello Samwise Sand Trap Ramsay Big Sky Hightower Flea Fly Cortana Watts Escobar Classified Canuck Gopher Blade Revere Tater Norsk Huckleberry, Jaws, Pool Boy, Chlorine, Murse","Double check these numbers, missing FNGS",4,2022,,1,Jaws,Huckleberry,,Big Sky,9,,Hightower,45,
Tuesday,5/3/2022,Big Sky,5,,"Big Sky, Pool Boy, Hightower, Cheapskate, Revere",,5,2022,,2,Pool Boy,Canuck,,Crunch,11,,Escobar,27,
Thursday,5/5/2022,Crunch,9,,"Crunch, Hightower, Big Sky, Chlorine, Cheapskate, Telecaster, Carnival, Revere, Gas Man",,5,2022,,3,Flipper,Escobar,,Hightower,7,,Revere,30,
Saturday,5/7/2022,Hightower,7,,"Hightower, Telecaster, Cheapskate, Stitches, Carnival, Chlorine, Escobar",,5,2022,,4,Sapphire,Carnival,,Cheapskate,5,,Carnival,35,
Tuesday,5/10/2022,"Rocketman, Cheapskate",7,,"Rocketman, Cheapskate, Escobar, Murse, Revere, Hightower, Chlorine",Rocketman's 100th Post,5,2022,,5,Escobar,Sapphire,,Carnival,6,,Cheapskate,28,
Thursday,5/12/2022,Crunch,8,,"Crunch, Carnival, Hightower, Revere, Cheapskate, Telecaster, Chlorine, Escobar",,5,2022,,6,So So,,,Chlorine,3,,Chlorine,23,
Saturday,5/14/2022,"Chlorine, Big Sky",6,,"Chlorine, Big Sky, Hightower, Carnival, Murse, Escobar",,5,2022,,7,Preacher Man,,,Revere,3,,Big Sky,26,
Tuesday,5/17/2022,Crunch,6,,"Crunch, Big Sky, Hightower, Revere, Cheapskate, Escobar",,5,2022,,8,Sinco,,,Rocketman,1,,Pool Boy,23,
Thursday,5/19/2022,Revere,6,,"Revere, Carnival, Pool Boy, Hightower, Telecaster, Freighter",,5,2022,,9,747,Squid,,Escobar,4,,Telecaster,22,
Saturday,5/21/2022,Cheapskate,6,,"Cheapskate, Hightower, Halitosis, Escobar, Carnival, Gas Man",,5,2022,,10,Clover,,,Tater,1,,Murse,8,
Tuesday,5/24/2022,Hightower,7,,"Hightower, Pool Boy, Murse, Rocketman, Cheapskate, Escobar, Revere",,5,2022,,11,,,,Telecaster,2,,Crunch,15,
Thursday,5/26/2022,Big Sky,7,,"Big Sky, Carnival, Hightower, Cheapskate, Pool Boy, Murse, Escobar",,5,2022,,12,,,,Pool Boy,2,,Rocketman,4,
Saturday,5/28/2022,Carnival,11,,"Carnival, Stitches, Flipper (FNG), Escobar, Telecaster, Big Sky, Hightower, Chlorine, Revere, Pool Boy, Crunch",,5,2022,,13,,,,,0,,Gas Man,5,
Tuesday,5/31/2022,Crunch,9,,"Bugle, Carnival, Escobar, Chlorine, Pool Boy, Cheapskate, Hightower, Murse, Crunch",,5,2022,,14,,,,,0,,Freighter,5,
Thursday,6/2/2022,Cheapskate,5,,"Cheapskate, Murse, Big Sky, Carnival, HighTower",,6,2022,,15,,,,,0,,Slice,5,
Saturday,6/4/2022,"Carnival, Escobar",7,0,"Carnival, Escobar, Big Sky, Cheapskate, Chlorine, Flipper, Revere",,6,2022,,16,,,,,0,,Tater,2,
Tuesday,6/7/2022,Cheapskate,7,,"Carnival, Telecaster, Escobar, Hightower, Chlorine, Revere, Cheapskate",,6,2022,,17,,,,,0,,Flea Fly,1,
Thursday,6/9/2022,Crunch,6,,"Chlorine, Escobar, Pool Boy, Telecaster, Hightower, Crunch",,6,2022,,18,,,,,0,,Cortana,1,
Saturday,6/11/2022,Big Sky,6,1,"Big Sky, Cheapskate, Pool Boy, Escobar, Chlorine, So So (FNG)",So So (FNG),6,2022,,19,,,,,0,,Watts,1,
Tuesday,6/14/2022,Chlorine,6,,"Chlorine, Big Sky, Hightower, Cheapskate, Revere, Pool Boy",,6,2022,,20,,,,,0,,Classified,1,
Thursday,6/16/2022,Hightower,6,,"Hightower, Big Sky, Rocketman, Revere, Escobar, Carnival",,6,2022,,21,,,,,0,,Canuck,1,
