Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Monday,3/8/2021,Slice,6,,"Slice, Freighter, Tater, Longhorn, Paneer, Cubed",First BD at Old Glory,3,2021
Wednesday,3/10/2021,Freighter,3,1,"Freighter, Slice, Cycle bar (FNG)",First Old Glory FNG!,3,2021
Monday,3/15/2021,Daft,5,,"Daft, Paneer, Longhorn, Slice, Freighter",,3,2021
Wednesday,3/17/2021,Hammer,8,,"Hammer, Slice, Paneer, Freighter, Tater, Cycle bar, Longhorn, Beach Bum (DR)",Hammer DR Guest Q,3,2021
Monday,3/22/2021,"Freighter, Longhorn",5,1,"Freighter, Longhorn, Paneer, Mantle, Pinocchio (FNG)","Freighter/Longhorn Co-Q, Pinocchio (FNG)",3,2021
Wednesday,3/24/2021,Freighter,4,,"Freighter, Tater, Longhorn, Cycle Bar",,3,2021
Monday,3/29/2021,Slice,7,,"Slice, Freighter, Paneer, Longhorn, Cycle Bar, Jack Hammer, Kingpin (R)(DR)",Kingpin DR! from F3 Salt Lake,3,2021
Wednesday,3/31/2021,KingPin (R)(DR),6,,"KingPin (R)(DR), Freighter, Slice, Cycle Bar, Freighter, Big Sky",,3,2021
Monday,4/5/2021,Paneer,7,,"Paneer, Slice, Freighter, Longhorn, Daft, Big Sky, Mijo",,4,2021
Wednesday,4/7/2021,Daft,4,,"Daft, Slice, Freighter, Longhorn",,4,2021
Monday,4/12/2021,Freighter,5,,"Freighter, Arson, Paneer, Longhorn, Slice",,4,2021
Wednesday,4/14/2021,Slice,4,,"Freighter, Arson, Longhorn, Slice",,4,2021
Monday,4/19/2021,Tater,6,,"Tater, Arson, Mijo, Freighter, Paneer, Slice",Tater's 1st Old Glory Q!,4,2021
Wednesday,4/21/2021,Freighter,6,,"Freighter, Slice, Arson, Tater, Big Sky, Sandbag (DR)",Sandbag DR!,4,2021
Monday,4/26/2021,"Tater, Arson",8,,"Tater, Arson, Longhorn, Grout, Mantle, Paneer, Freighter, Slice",Tater/Arson Co-Q! ,4,2021
