Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Tuesday,11/23/2021,Lilo,12,0,"Lilo, Tater, Freighter, Doppler, Huckleberry, Gopher, Boogeyman, Retina, Laettner, Carnival, Samwise, Halitosis",The Rebel Launch!,11,2021
Thursday,11/25/2021,Lilo,4,0,"Lilo, Gopher, Huckleberry, Boogeyman","Rebel ""borrowed"" The Gem Flags",11,2021
Tuesday,11/30/2021,Lilo,4,0,"Lilo, Huckleberry, Gopher, Doppler",,11,2021
Thursday,12/2/2021,Huckleberry,5,0,"Huckleberry, Doppler, Canuck, Blade, Gopher",,12,2021
Tuesday,12/7/2021,Tater,6,0,"Slice, Tater, Lilo, Canuck, Gopher, Doppler",,12,2021
Thursday,12/9/2021,Lilo,4,0,"Doppler, Huckleberry, FireBall",Run ,12,2021
Tuesday,12/14/2021,Lilo,6,0,"Doppler, Gopher, Tater, Lilo, Huckleberry, Canuck","Goose, Snowy Run",12,2021
Thursday,12/16/2021,Tater,5,0,"Doppler, Gopher, Tater, Lilo, Huckleberry",Found the Hot Springs,12,2021
Tuesday,12/21/2021,Huckleberry,3,0,"Doppler, Gopher, Huckleberry",,12,2021
Thursday,12/23/2021,Huckleberry,3,0,"Doppler, Canuck, Huckleberry",Goose,12,2021
Tuesday,12/28/2021,Huckleberry,5,0,"Doppler, Hooch, Huckleberry, Tater, Canuck",Goose,12,2021
Thursday,12/30/2021,Huckleberry,4,0,"Doppler, Tater, Canuck, Huckleberry",Goose,12,2021
Tuesday,1/4/2022,Lilo,4,0,"Doppler, Tater, Huckleberry, Lilo",,1,2022
Thursday,1/6/2022,Lilo,4,0,"Doppler, Huckleberry, Lilo, Arson ",,1,2022
Tuesday,1/11/2022,Huckleberry,4,0,"Doppler, Huckleberry, Gopher, Blade",,1,2022
Thursday,1/13/2022,Lilo,2,0,"Lilo, Huckleberry",,1,2022
Tuesday,1/18/2022,Lilo,5,0,"Lilo, Huckleberry, Gopher, Doppler, Tater",,1,2022
Thursday,1/20/2022,Doppler,5,0,"Lilo, Tater, Insider, Gopher, Doppler",,1,2022
Tuesday,1/25/2022,Lilo,7,0,"Lilo, Huckleberry, Gopher, Doppler, Insider, Snots, Laettner",DR Snots,1,2022
Thursday,1/27/2022,Doppler,5,0,"Doppler, Gopher, Canuck, Huckleberry, Snots",,1,2022
Tuesday,2/1/2022,Lilo,9,0,"Lilo, Doppler, Metamucil, Gopher, Tater, Freighter, Slice, Canuck, Huckleberry",Goose,2,2022
Thursday,2/3/2022,Gopher,4,0,"Lilo, Doppler, Gopher, Tater",,2,2022
Tuesday,2/8/2022,Tater,5,1,"Doppler, Gopher, Tater, Huckleberry, Norsk (FNG)",FNG,2,2022
