Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Friday,4/2/2021,Freighter,6,1,"Freighter, Tater, Slice, Mijo, Daft, Bronco (FNG)",FNG Bronco!,4,2021
Friday,4/9/2021,Freighter,6,,"Freighter, Tater, Slice, Bronco, Huckleberry, Paneer",,4,2021
Friday,4/16/2021,Freighter,6,,"Freighter, Tater, Slice, Huckleberry, Mijo, Paneer",,4,2021
Friday,4/23/2021,Freighter,9,,"Arson, Daft, Freighter, Mijo, Paneer, Huckleberry, Retina, Slice",,4,2021
Friday,4/30/2021,Freighter,6,,"Freighter, Paneer, Tater, Huckleberry, Cycle bar, Arson",,4,2021
Friday,5/7/2021,Freighter,7,,"Freighter, Paneer, Slice, Grout, Doughboy, Trauma, Arson",,5,2021
Friday,5/14/2021,Freighter,5,,"Freighter, Slice, Paneer, Doughboy, Grout",,5,2021
Friday,5/21/2021,Freighter,8,,"Freighter, Slice, Paneer, Grout, Arson, Huckleberry, Tater, Happy Meal (DR)",,5,2021
Friday,5/28/2021,Arson,8,,"Arson, Daft, Freighter, Paneer, Grout, Slice, Tater, Alien",Day 2 Navy Seal Ruck,5,2021
Saturday,5/29/2021,Tater,4,,"Tater, Arson, Repo, Quid",Day 3 Evening Ruck,5,2021
Sunday,5/30/2021,Tater,5,,"Tater, Arson, Slice, Freighter, Paneer",Day 4 10mi Ruck,5,2021
Friday,6/4/2021,Freighter,7,,"Freighter, Slice, Paneer, Arson, Cycle Bar, Trauma, Grout",,6,2021
Friday,6/11/2021,Freighter,6,,"Freighter, Slice, Paneer, Canuck, Arson, Grout",,6,2021
Friday,6/18/2021,Slice,4,,"Slice, Freighter, Paneer, Grout",,6,2021
Friday,6/25/2021,Freighter,7,,"Freighter, Slice, Paneer, Sriracha, Grout, Gandhi, Red Elephant",,6,2021
Friday,7/2/2021,Freighter,5,,"Freighter, Slice, Paneer, Arson, Sriracha ",,7,2021
Friday,7/9/2021,Slice,8,,"Slice, Arson, Trauma, Markymark (DR), Gandhi, Tater, LOL (DR), Paneer",,7,2021
Friday,7/16/2021,Slice,13,,"Slice, Hombre (R)(DR), Hollywood (R)(DR), Freighter, Metamucil, Paneer, Longhorn, Alien, Sriracha, Slater, Couch Potato, Grout, Arson",,7,2021
Friday,7/23/2021,Tater,9,1,"Tater, Paneer, Metamucil, Trauma, Canuck, Shameless, Grout, Doughboy, Boodle (FNG)","WOD Comal BD, Boodle FNG!!",7,2021
Friday,7/30/2021,Freighter,5,,"Freighter, Paneer, Daft, Slater, Carnival",,7,2021
Friday,8/6/2021,Tater,7,,"Tater, Slice, PrinceSS, Paneer, Gandhi, Red Elephant, Sriracha",,8,2021
Friday,8/13/2021,Huckleberry,12,1,"Huckleberry, Road Rash, Hannibal (FNG), PrinceSS, Lilo, Trauma, Carnival, Tater, Franc (DR), Slice, Paneer, Freighter",,8,2021
Friday,8/20/2021,Slice,2,,"Slice, Carnival",,8,2021
Friday,8/27/2021,Freighter,5,,"Freighter, Paneer, Carnival, Squid, Slater",,8,2021
Friday,9/3/2021,Freighter,9,,"Freighter, Paneer, Carnival, Squid, Slater, Retina, Huckleberry, Blade, Grout",,9,2021
Friday,9/10/2021,Slice,4,,"Slice, Paneer, Blade, Carnival",,9,2021
Friday,9/17/2021,Slice,7,,"Slice, Paneer, Blade, Red Elephant, PrinceSS, Arson",,9,2021
Friday,9/24/2021,Carnival,7,,"Carnival, Freighter, Slice, Paneer, Arson, Blade, Old Spice, PrinceSS",,9,2021
Friday,10/1/2021,Freighter,5,,"Freighter, Slice, Paneer, Carnival, PrinceSS",,10,2021
Friday,10/8/2021,Carnival,8,,"Carnival, Slice, Freighter, Paneer, Doppler, PrinceSS, Blade, Boogeyman",,10,2021
Friday,10/15/2021,Carnival,4,,"Carnival, Slice, Paneer, Trauma",,10,2021
Friday,10/22/2021,Huckleberry,8,,"Huckleberry, Slice, Paneer, Trauma, PrinceSS, Freighter, Shameless, Slater",,10,2021
Friday,10/29/2021,Paneer,7,,"Paneer, Freighter, Slice, Carnival, Blade, Watts, PrinceSS",,10,2021
Friday,11/5/2021,Carnival,7,,"Carnival, Rabbit, Watts, Freighter, Paneer, Slice, Trauma",,11,2021
Friday,11/12/2021,Carnival,4,,"Carnival, Blade, Boogeyman, Doppler",,11,2021
Friday,11/19/2021,Slice,4,,"Slice, Freighter, Arson, Watts",,11,2021
Wednesday,11/24/2021,Tater,12,,"Tater, Halitosis, Quid, Flea Fly, Doppler, Lilo, Huckleberry, Chunks, Freighter, Boogeyman, Arson, Puck",Ruck to End Hunger,11,2021
Friday,11/26/2021,Tater,5,,"Tater, Freighter, Blade, Arson, PrinceSS",,11,2021
Friday,12/3/2021,Paneer,12,1,"Paneer, Slice, Freighter, Arson, Blade, Puck (R), Watts, Rabbit, PrinceSS, Carnival, Canuck, Crunch (FNG), ",Crunch (FNG),12,2021
