ao,q,pax,fngs,date,title,moleskine,bb_type
old-glory,yardstick,"babbel,biczar,kremlin,napoleon,red card,rocketman,yardstick",,2023-09-13,Nice and Easy,"*WARMUP:*
SSH, Grass Grabbers, Tin Soldier, Michael Phelps, LBAC, Overhead Clap
*THE THANG:*
Coupon Exercises consisting of:
Curls, Bent over Row, Overhead Press, Triceps, Side Lunge to Overhead, Upright Rows
Ladders consisting of:
High knees, butt kickers, one leg hop, hop scotch, hiesmen, squat hop, 1, 2 quick step, scissor legs
*MARY:*
Stretching and Ab Exercises Consisting of:
Plank Hold, Scissor legs, leg lifts, bicycle, forward fold, low lunge, happy baby
*ANNOUNCEMENTS:*
GTE this Saturday.  Lasagna Party on the 23rd at OG from 4:00pm to 9:00pm
*COT:*
Completed
Good to be with all of the PAX in the gloom at OG this morning.  Looking forward to BiCzar Q tomorrow at Gem.",backblast
backyard,cortana,"cortana,doodle,doppler,face plant,ramsay,sriracha,telecaster,wooderson",,2023-09-13,Cortana's Cardio Adventure,"*WARMUP:*
- SSH x20 IC
- LBAC x10 IC
- LBAC x10 IC (flapjack)
- Overhead claps x10 IC
- Michael Phelps x10 IC

*THE THANG:*
*Mosey to Victory Middle School courtyard*
- Irkins x25 OMD
- Tricep Dips x25 OMD
- Derkins x25 OMD
- SSH x25 IC

*Mosey to Fall Creek Park 1*
- Irkins x23 OMD
- Tricep Dips x23 OMD
- Derkins x23 OMD
- SSH x23 IC

*Mosey to Fall Creek Park 2*
- Flutter Kicks x25 IC
- Heels to Heaven x25 OMU
- American Hammers x25 IC

*Mosey Back to Fall Creek Park 1*
- Irkins x20 OMD
- Tricep Dips x20 OMD
- Derkins x20 OMD
- SSH x20 IC

*Mosey Back to Victory Middle School courtyard*
- Irkins x20 OMD
- Tricep Dips x20 OMD
- Derkins x20 OMD
- SSH x20 IC

*Mosey Back to the Flags*
- Flutter Kicks x25 IC
- Heels to Heaven x25 OMU
- American Hammers x25 IC
- BBSU x25 OMU
- Plank Hold x1 min
- Stargazers x1 min

*ANNOUNCEMENTS:*
- GTE this weekend!
- Leadership Summit on 9/30 - All PAX invited!
- Doodle's Kettlebell Challenge in October

*COT:*
- We discussed the importance of being aware of our priorities in life, balancing work, family, and community. YHC was challenged this week by a friend to think about my ""why"" when it comes to work - what my purpose is there, what value YHC is adding. 

- Telecaster shared a quote that said something like ""Discipline and regret are both hard, choose which one you want to live with."" 

- Prayers for wisdom in hard decision making, prayers for growth as fathers, prayers of thanksgiving.",backblast
gem,sheets,"chubbs,donatello,gas man,kremlin,retina,rocketman,sheets,yardstick",,2023-09-12,BDE MILE – IPC 2023 WEEK 2,"WARMUP:  Started early - Stretch and get moving.
Mosey around course to show course and 100 meter marker cones.  Demonstration of BDE Burpees and BDE Merkins.
THE THANG:
Started the timer at 5:15AM
400-meter lap
5 BDE burpees
400-meter lap
5 BDE merkins
Repeat until time called at 6:00 AM

MARY: Time called and mosey back to the beginning.  

Nice work everyone!  Make sure to get your distance logged.

ANNOUNCEMENTS:
This Weekend - GTE38/King Builder/Grow School/Breakfast - thank you volunteers (@Kremlin, @Chubbs, @Gas Man)
Lasagne Fest - September 23rd at Old Glory (make sure to HC and work with @Rocketman to see what you should bring)
Leadership Conference September 30th
October - Kettlebell challenge

THAT'S WHAT SHEETS SAID:  Something that has helped me grow since joining F3 is the commitment shown by each of the PAX.  Whether it be the continued efforts to be out in the Gloom, starting up a new business, volunteering to help at GTE or other events, taking care of your families, training for GTE, taking care of your health, or being there to encourage and support the other PAX.  Being surrounded by PAX that demonstrate the positive example of commitment helps me want to be better every day and improves my drive to really focus on the important things in my life.   The gloom was good this morning - thank you for being there for me and showing your commitment to each other.

COT: Yes, please and thank you.

Special thanks and shout out to @Retina for getting there early to mark off our 400 meter course and playing the tunes (and of course the positive words of encouragement when you lapped me at least 5 times).",backblast
rebel,tenor,"bandit,family guy,gopher,hipaa,huckleberry,pigeon,tenor",,2023-09-12,Tower Run,"*WARMUP:*
Ran to Tower
*THE THANG:*
Ran with Tower
*MARY:*
Ran back to Rebel
*ANNOUNCEMENTS:*
GTE, Fit-One, City of Trees & Leadership Event
*COT:* Topics in Circle",backblast
tower,face plant,"buff,da wurst,doppler,face plant,pearl,strings",,2023-09-12,IPC week 2,"*WARMUP:*
None

*THE THANG:*

400 meter run
5 BDE burpees
400 meter run
5 BDE merkins

Rinse and repeat for 45 minutes 

Rebel crew ran through and did a few burpees or merkins in support!

*MARY:*
No time

*ANNOUNCEMENTS:*
GTE this weekend
Lasagna party on 9/23
Leadership summit 9/30

*COT:*
Had to be there. 

Thanks HIMs. It was an honor to be out there with you all today. ",backblast
bellagio,methane,"bigmac,freighter,methane,samwise,slice,squid,stinger",,2023-09-12,Nice and Easy,"*WARMUP:*
FLBAC IC x10
RLBAC IC x10
SSH IC x20
Michael Phelps IC x10
Tin Soldiers IC x10
Abe Vagota IC x10
Mosey around the parking lot

*THE THANG:*
Mosey to bocce ball court
- dips x10
- squats x10
- HR merkins x10
- Bear Crawl bocce ball court
Mosey to stage
-Rocky Balboa IC x10
-Squat jump up stairs x10
-Wall sit while each PAX did 3-Burpee form check
Mosey back to parking lot
Circle up
Half of PAX used coupon while the rest did alternate exercise, then switch
- Coupon OHP/HR merkin
- Coupon curls/squats
- Coupon rows/SSH
Repeat x2
Mosey around parking lot
Circle up, each PAX picked exercise and led
Flutter kicks x25
Freddie Mercury x20
Catilina Wine Mixers x10
Mosey around parking lot
Time called at 6:02

*ANNOUNCEMENTS:*
GTE!!!
VQ on Thursday
Lasagna Party
Leadership Summit

*COT:*
Always. Let's all stay safe this weekend.",backblast
iron-mountain,telecaster,"asphalt,escobar,telecaster",,2023-09-12,Crunch Inspired,"*WARMUP:*

SSH 
Abe Vigodas
LBAC
CABL
Overhead Claps
Lunge stretch

*THE THANG:*

Mosey half of park

Carry coupons to pavilion 

One person moseys .10 mile and returns

While the others do:

Coupon Squats 

Switch runner

Bent over rows

Switch runner

Merkins

Switch runner 

Step ups

Switch runner

Squats

Switch runner

ALL run .25 mi loop

Step ups


*MARY:*

Flutter kicks 
BBSU


*ANNOUNCEMENTS:*

GROWRUCK NEXT WEEKEND
King Builder Sat 7am
Rocketman’s Lasagna party the weekend after grow ruck


*COT:*
Escobar’s upcoming tests for certification. 

Telecaster’s friend that’s struggling with her walk with God. 

",backblast
old-glory,napoleon,"babbel,chubbs,dash,gas man,halitosis,kremlin,napoleon,red card,retina,rocketman",babbel,2023-09-11,9/11 Tribute,"*WARMUP:*
* 2,001 meter mozy 
* 9 IC Michael Phelps
* 11 IC Abe Vigodas 
* 9 LBACs (front and back)
* 11 grass grabbers

*THE THANG:*
North tower - 110 floors (reps)
5 rounds of 22, alternating between:
* Curls
* shoulder presses
* Bent over rows
* Dips

South tower - 110 floors 
5 rounds of 22, alternating between:
* squats
* Puking flamingos (flapjack at 11)
* Side squats
* Lunge walk
**ran out of time, so only did one round**

Pentagon - five stations
* 20 mountain climbers 
* 20 bobby hurleys 
* 20 twisted mountain climbers 
* 20 thrusters (ran out of time)
* 20 Peter Parker’s (ran out of time)

*MARY:*
Honoring number of people that died in each of the 4 planes:
* 92 (31 IC) American Hammers
* 65 (33 IC) LBCs
* 64 (16 IC) Freddy Mercury’s 
* 44 BBS 
* Moment of silence while in low plank 

*ANNOUNCEMENTS:*
* Mission 43 run tonight
* IPC likely at #ao-gem tomorrow or #ao-old-glory Wednesday
* GTE this weekend, @Rocketman will share agenda for all PAX",backblast
rise,kettle,"canuck,hawkeye,husker,kettle,sushi,timney",,2023-09-11,BDE Mile - IPC 2023 Week 2 - Done and Dusted,"*THE THANG:*
- 400m run
- 5 BDE burpees (3 exercises in one)
- 400m run
- 5 BDE merkins (3 hand-release merkins with Peter Parker)
Repeat for 45 minutes and log your meters.
Everyone WENT THE DISTANCE. Nice work.

*ANNOUNCEMENTS:*
GTE, Kingbuilder, need for GTE support",backblast
warhorse,daft,"bandit,daft,mma!,telecaster,youngblood",mma!,2023-09-11,For those who can’t ,"*WARMUP:*
SSH x 20 IC
Abe Vigoda x 15 IC
LBAC x 15 IC
Flapjack
Iron Cross IC x 15
Moroccan Nightclub x 15 IC

*THE THANG:*
Mosey to AARP area

Step-ups while discussing Youngblood’s friend who is 9/11 survivor, and Rick Rescorla

Pull-ups OYO
Hand-release Merkins OYO
Mosey back to flags
Load up with coupons and bags 
Mosey to tables

Step ups OYO while discussing leadership and more Rick Rescorla info

10 exercises dubbed “bench warmers” (kudos to Telecaster for coming up with the name) OMD

Hand release merkins OYO

More step-ups and discussion of 9/11 stair climbing

10 benchwarmers OMD
Curls for the girls OYO
Benchwarmers x 10 OMD
Load up and mosey back to flags
Hand release merkins OYO

*MARY:*
Q’s choice, Freddy Mercury x 20 IC
Bandit’s choice, windshield wipers x 10 IC
Youngblood’s choice (I forget)
FNG’s choice flutter kicks x 10 IC
Telecaster’s choice BBSU x 20
Q’s choice side plank x 19 IC each side

*ANNOUNCEMENTS:*
GrowRuck
Lunch the following Saturday 

*COT:*
Prayers for those who can’t
Prayers for GrowRuck Pax",backblast
